t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
9.500000000000000000e+00,2.631002464814905517e-01,2.632465185540727171e-01,2.631462091466728603e-01,2.625457856241694143e-01,2.609145241414357330e-01,2.580797585276201622e-01,2.513500768360556470e-01,2.449443822009542693e-01,2.419178862659573936e-01,2.400563471674921345e-01,2.386265117629659260e-01,2.363757040600048542e-01,2.341343907441319483e-01,2.320995718845683953e-01,2.298696039656692724e-01
9.750000000000000000e+00,2.647692101454132141e-01,2.649393963980529176e-01,2.648042864736864233e-01,2.639781801123342597e-01,2.618425587427390400e-01,2.584556890605785306e-01,2.514314682649211874e-01,2.454762637321594998e-01,2.426424038468333322e-01,2.407758149594758368e-01,2.392842401754997350e-01,2.369042648561519859e-01,2.345437695351863527e-01,2.324203828820201601e-01,2.301144115842822524e-01
1.000000000000000000e+01,2.663692014677215281e-01,2.665645655588690377e-01,2.663773789573670170e-01,2.652594188987700830e-01,2.625568399524983998e-01,2.586730630609491710e-01,2.515776680982249047e-01,2.460840906014513940e-01,2.433710585269651949e-01,2.414623509316142225e-01,2.398951025499020950e-01,2.373826146806274906e-01,2.349090323040521344e-01,2.327044390191436718e-01,2.303300871656332183e-01
1.025000000000000000e+01,2.679025538399552597e-01,2.681241221990529611e-01,2.678626553945054889e-01,2.663802265315236562e-01,2.630752434649750171e-01,2.587875747805705728e-01,2.518132757950904410e-01,2.467457238869259495e-01,2.440864973333079502e-01,2.421075412852614350e-01,2.404562414925658920e-01,2.378125452433761944e-01,2.352334372686133435e-01,2.329551321379179085e-01,2.305196702905142336e-01
1.050000000000000000e+01,2.693716971080292177e-01,2.696201563418428870e-01,2.692565992510893569e-01,2.673350772426603683e-01,2.634270638625632044e-01,2.588538503553101666e-01,2.521471428330484543e-01,2.474388022120943276e-01,2.447750545090955909e-01,2.427060189059615514e-01,2.409668296866503134e-01,2.381966286315206072e-01,2.355203983779859123e-01,2.331757420170655626e-01,2.306859419806409905e-01
1.075000000000000000e+01,2.707791213116331752e-01,2.710546943371239248e-01,2.705551341692210565e-01,2.681238993603844989e-01,2.636500039221454372e-01,2.589199322930322844e-01,2.525758989954073885e-01,2.481426713851578869e-01,2.454266288807759322e-01,2.432549523264406488e-01,2.414275859552454384e-01,2.385379338432908891e-01,2.357733351350919104e-01,2.333693940541831657e-01,2.308315442774686310e-01
1.100000000000000000e+01,2.721273478094851095e-01,2.724296470143997562e-01,2.717538935310618298e-01,2.687532905888906920e-01,2.637860595883232961e-01,2.590237871375920542e-01,2.530876468816165570e-01,2.488394862156075027e-01,2.460343394710599041e-01,2.437535322899734291e-01,2.418403649625279206e-01,2.388398131258527290e-01,2.359955858040480303e-01,2.335390019083275759e-01,2.309588460289931089e-01
1.125000000000000000e+01,2.734189063705407263e-01,2.737467630462921964e-01,2.728486448571488809e-01,2.692369203553738877e-01,2.638772241636732074e-01,2.591917995404113828e-01,2.536653308878438762e-01,2.495147049599479305e-01,2.465940701065545138e-01,2.442025035507997544e-01,2.422078039263088067e-01,2.391057193847526130e-01,2.361903307199148261e-01,2.336872563510440370e-01,2.310699678739829566e-01
1.150000000000000000e+01,2.746563170866108128e-01,2.750075878849724820e-01,2.738358547188145531e-01,2.695949798963722110e-01,2.639617614751957331e-01,2.594388793074242083e-01,2.542895325136756979e-01,2.501571654270997591e-01,2.471039801665153024e-01,2.446037512610623188e-01,2.425330405867505423e-01,2.393390862678817232e-01,2.363605570727099481e-01,2.338166212888291851e-01,2.311668687329331007e-01
1.175000000000000000e+01,2.758420761809939892e-01,2.762134294981915539e-01,2.747133471809677929e-01,2.698527640601642852e-01,2.640714850477485220e-01,2.597696935556707554e-01,2.549406126098229253e-01,2.507588901543914006e-01,2.475640293882959142e-01,2.449599505061271776e-01,2.428194840503887786e-01,2.395432323306265210e-01,2.365090298143511516e-01,2.339293266619685285e-01,2.312512756714955320e-01
