t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
6.500000000000000000e+01,7.414254436405021131e-01,7.768240047304185714e-01,7.952337927291937003e-01,8.078034340397515223e-01,8.173668460500271848e-01,8.250585173218752955e-01,8.368999840242657973e-01,8.494032110015591330e-01,8.582931928447498082e-01,8.650077073345739942e-01,8.702899681199233184e-01,8.781225372630292458e-01,8.852195511000432449e-01,8.911895457592957648e-01,8.973481091273431964e-01
6.525000000000000000e+01,7.414064891919204259e-01,7.768238751563305566e-01,7.952338407974157697e-01,8.078034351264369306e-01,8.173668452356888103e-01,8.250585172072479878e-01,8.368999836359118927e-01,8.494032101050209560e-01,8.582931913772158250e-01,8.650077052818745393e-01,8.702899655195678319e-01,8.781225337879532411e-01,8.852195469585000254e-01,8.911895409430705683e-01,8.973481046463123167e-01
6.550000000000000000e+01,7.413881006742194524e-01,7.768236674409600973e-01,7.952338945283642380e-01,8.078034353123335620e-01,8.173668445069842692e-01,8.250585170937518864e-01,8.368999832524709470e-01,8.494032092088507069e-01,8.582931898970204143e-01,8.650077032275074185e-01,8.702899630042841839e-01,8.781225304670183807e-01,8.852195427218400026e-01,8.911895359030146402e-01,8.973480993751128398e-01
6.575000000000000000e+01,7.413702898113532225e-01,7.768233892528160212e-01,7.952339529260489259e-01,8.078034347029189322e-01,8.173668438629645427e-01,8.250585169818370757e-01,8.368999828640455441e-01,8.494032083262957888e-01,8.582931884404989553e-01,8.650077012124763876e-01,8.702899604690703672e-01,8.781225270852123233e-01,8.852195386886555495e-01,8.911895314357209941e-01,8.973480934632853678e-01
6.600000000000000000e+01,7.413530659098485076e-01,7.768230479835332991e-01,7.952340150598447011e-01,8.078034333984958071e-01,8.173668432971380460e-01,8.250585168705621975e-01,8.368999824858608383e-01,8.494032074418517153e-01,8.582931869655228141e-01,8.650076991985808927e-01,8.702899579371616845e-01,8.781225237819181295e-01,8.852195346224565053e-01,8.911895267365149698e-01,8.973480888291829327e-01
6.625000000000000000e+01,7.413364359999278230e-01,7.768226507328492847e-01,7.952340800628642237e-01,8.078034314955443440e-01,8.173668428086471316e-01,8.250585167584456592e-01,8.368999821026078534e-01,8.494032065602477033e-01,8.582931855376179087e-01,8.650076972081413018e-01,8.702899554516769776e-01,8.781225204377276494e-01,8.852195303704120111e-01,8.911895219226043663e-01,8.973480836986201803e-01
6.650000000000000000e+01,7.413204049734498646e-01,7.768222042955073015e-01,7.952341471347775803e-01,8.078034290850923949e-01,8.173668423891367052e-01,8.250585166447791385e-01,8.368999817249718198e-01,8.494032056850404633e-01,8.582931840931875556e-01,8.650076951896965571e-01,8.702899529734742234e-01,8.781225172114736077e-01,8.852195265525980572e-01,8.911895174824332466e-01,8.973480781921745475e-01
6.675000000000000000e+01,7.413049757180366628e-01,7.768217151518447272e-01,7.952342155392529977e-01,8.078034262530535692e-01,8.173668420357665942e-01,8.250585165305900359e-01,8.368999813421560408e-01,8.494032048170784277e-01,8.582931826656443608e-01,8.650076932490163850e-01,8.702899505241651346e-01,8.781225139663821899e-01,8.852195225605199447e-01,8.911895128962820101e-01,8.973480733977663437e-01
6.700000000000000000e+01,7.412901492477991239e-01,7.768211894600098866e-01,7.952342846052441461e-01,8.078034230784302272e-01,8.173668417408517239e-01,8.250585164151291728e-01,8.368999809695976122e-01,8.494032039513376153e-01,8.582931812346220601e-01,8.650076912791198058e-01,8.702899480291962364e-01,8.781225106697962968e-01,8.852195185201027217e-01,8.911895082978559257e-01,8.973480684024941478e-01
6.725000000000000000e+01,7.412759248302824844e-01,7.768206330512644753e-01,7.952343537233040882e-01,8.078034196354463292e-01,8.173668415025691081e-01,8.250585162974880538e-01,8.368999805921114588e-01,8.494032030843217118e-01,8.582931798321619121e-01,8.650076893394811339e-01,8.702899456540476031e-01,8.781225075364242905e-01,8.852195146844272777e-01,8.911895038862276408e-01,8.973480632958605874e-01
